"Place","Micro","Brewpub","Regional","Large","Planned"
"Seattle",101,34,6,0,19
"San Diego",67,35,7,0,28
"Denver",75,29,2,3,26
"Chicago",69,47,5,1,13
"Portland",63,53,3,1,10
"New York",51,28,4,2,32
"Los Angeles",51,30,2,2,24
"Washington, D.C.",42,27,1,0,22
"San Francisco",34,32,6,0,15
"Minneapolis",48,18,2,0,13
"Philadelphia",19,37,5,0,14
"Boston",34,14,5,0,8
"Detroit",20,28,1,0,5
"Dallas",24,10,1,1,13
"Sacramento",25,16,0,0,7
"Tampa",25,15,2,0,6
"Riverside",29,11,1,0,5
"Phoenix",14,18,2,0,11
"St. Louis",16,12,1,1,9
"Atlanta",15,12,1,1,6
